forecast_source,projection_label,segment_id,segment_name_norm,segment_label,base_raw,target_raw,raw_change,base_auto,target_auto,auto_change
bls_us,BLS US,1,Materials Processing,1-Materials Processing,72604.0,73008.78099999999,404.7809999999881,21247.66878566509,21378.246867725975,130.5780820608852
bls_us,BLS US,2,Equipment Manufacturing,2-Equipment Manufacturing,47550.0,46460.94000000002,-1089.0599999999831,6244.586842570626,6164.576756725937,-80.01008584468855
bls_us,BLS US,3,Forging Foundries,3-Forging Foundries,16337.0,15080.936999999998,-1256.063000000002,9023.139594640334,8292.534476983012,-730.6051176573219
bls_us,BLS US,4,Parts Machining,4-Parts Machining,50443.0,49873.700999999994,-569.2990000000063,14936.444494648236,14727.460957369985,-208.98353727825088
bls_us,BLS US,5,Component Systems,5-Component Systems,18283.0,19054.246,771.2459999999992,5987.024880706003,6259.0051227172935,271.9802420112901
bls_us,BLS US,6,Engineering Design,6-Engineering Design,120207.0,123629.48300000005,3422.483000000051,1032.0255054257461,1057.5355010306757,25.5099956049296
bls_us,BLS US,7,Core Automotive,7-Core Automotive,173082.0,158280.593,-14801.407000000007,173082.0,158280.593,-14801.407000000007
bls_us,BLS US,8,Motor Vehicle Parts Materials Products Sales,8-Motor Vehicle Parts Materials Products Sales,115340.0,114862.51000000002,-477.48999999997613,115340.0,114862.51000000002,-477.48999999997613
bls_us,BLS US,9,Dealers Maintenance Repair,9-Dealers Maintenance Repair,69600.0,70494.23399999995,894.2339999999531,69600.0,70494.23399999995,894.2339999999531
bls_us,BLS US,10,Logistics,10-Logistics,46889.0,47264.112000000016,375.11200000001554,46889.0,47264.112000000016,375.11200000001554
dtmb_mi,DTMB MI,1,Materials Processing,1-Materials Processing,72604.0,71156.638,-1447.3619999999937,21247.66878566509,20797.260735944896,-450.40804972019396
dtmb_mi,DTMB MI,2,Equipment Manufacturing,2-Equipment Manufacturing,47550.0,46694.09999999999,-855.9000000000087,6244.586842570626,6132.184279404353,-112.40256316627256
dtmb_mi,DTMB MI,3,Forging Foundries,3-Forging Foundries,16337.0,15697.211000000001,-639.7889999999989,9023.139594640334,8644.081920123073,-379.05767451726024
dtmb_mi,DTMB MI,4,Parts Machining,4-Parts Machining,50443.0,49643.0,-800.0,14936.444494648236,14662.503515659799,-273.94097898843756
dtmb_mi,DTMB MI,5,Component Systems,5-Component Systems,18283.0,18615.509999999995,332.50999999999476,5987.024880706003,6066.881475693046,79.85659498704263
dtmb_mi,DTMB MI,6,Engineering Design,6-Engineering Design,120207.0,124033.20400000001,3826.2040000000125,1032.0255054257461,1083.9748552040082,51.9493497782621
dtmb_mi,DTMB MI,7,Core Automotive,7-Core Automotive,173082.0,167716.45799999996,-5365.542000000045,173082.0,167716.45799999996,-5365.542000000045
dtmb_mi,DTMB MI,8,Motor Vehicle Parts Materials Products Sales,8-Motor Vehicle Parts Materials Products Sales,115340.0,113556.85400000002,-1783.1459999999788,115340.0,113556.85400000002,-1783.1459999999788
